Batch ID,Leather type,OperatorID,scanned area,time,date,,,,,,
7652,PEL.F30.CER880,giuseppe,0.433,0,06/10/2020,,,,,,
7652C,CRO.S30.CER880,giuseppe,0.345,270,06/10/2020,,,,,,
7547,PEL.L15.2601,giuseppe,0.328,0,06/10/2020,,,,,,
7580,PEL.F20P.MACA01,giuseppe,0.604,0,06/10/2020,,,,,,
7580,PEL.F20P.MACA01,giuseppe,7,987,06/10/2020,,,,,,
7580C,CRO.S20P.MACA01,giuseppe,5.2,309,06/10/2020,,,,,,
7688S.I.,PEL.F20P.MACA880,giuseppe,1.554,255,06/10/2020,,,,,,
7562C,CRO.S30.CER830,giuseppe,0.111,132,06/10/2020,,,,,,
7655,PEL.F10.GEN00/11,vitogiorgio,0.039,0,06/10/2020,,,,,,
7529,PEL.L15.2618,vitogiorgio,118.37,9082,07/10/2020,,,,,,
7529,PEL.L15.2618,vitogiorgio,74.51,5743,07/10/2020,,,,,,
7529,PEL.L15.2618,vitogiorgio,115.5,9400,07/10/2020,,,,,,
7547,PEL.L15.2601,vitogiorgio,0.167,0,07/10/2020,,,,,,
7530,PEL.L15.2605,vitogiorgio,0.735,435,07/10/2020,,,,,,
7667S.I.,PEL.F20P.MACA745,vitogiorgio,0.613,319,07/10/2020,,,,,,
7673S.I.,PEL.F20P.MACA850,vitogiorgio,2.101,344,07/10/2020,,,,,,
7619C,CRO.S20P.MACA000,vitogiorgio,0.371,8,07/10/2020,,,,,,
7681C,CRO.S20P.MACA80,vitogiorgio,0.089,0,07/10/2020,,,,,,
7644,PEL.F30.CER910,vitogiorgio,0.463,289,07/10/2020,,,,,,
7688S.I.,PEL.F20P.MACA880,vitogiorgio,59.88,5776,07/10/2020,,,,,,
7688S.I.,PEL.F20P.MACA880,vitogiorgio,60.19,3492,07/10/2020,,,,,,
7688C,CRO.S20P.MACA880,vitogiorgio,15.9,797,07/10/2020,,,,,,
7688C,CRO.S20P.MACA880,vitogiorgio,24.35,950,07/10/2020,,,,,,
7679S.I.,PEL.F20P.MACA34,vitogiorgio,60.6,4386,07/10/2020,,,,,,
7679S.I.,PEL.F20P.MACA34,vitogiorgio,60.6,3374,07/10/2020,,,,,,
7679C,CRO.S20P.MACA34,vitogiorgio,42.75,2111,07/10/2020,,,,,,
7679C,CRO.S20P.MACA34,vitogiorgio,45.23,1332,07/10/2020,,,,,,
7679S.I.,PEL.F20P.MACA34,vitogiorgio,41.3,3214,07/10/2020,,,,,,
